Designator,Mid X,Mid Y,Layer,Rotation
BATTERY, 9.02,-22.73,Top,180.0
BMI270,63.75,-7.49,Top,0.0
C1,90.55,17.68,Top,0.0
C2,52.32,11.43,Top,90.0
C3,90.55,19.71,Top,0.0
C4, 9.53, 3.43,Top,180.0
C5,26.16,-2.41,Top,0.0
C6,85.85,18.16,Top,180.0
C7,89.66,-10.16,Top,0.0
C8,29.29, 3.91,Top,180.0
C9,60.96,15.27,Top,270.0
C10,68.71,15.14,Top,270.0
C11,22.86,11.68,Top,0.0
C12,87.35,-11.94,Top,180.0
C13,83.06,-10.29,Top,270.0
C14,83.06,-8.00,Top,90.0
C15,30.99, 9.27,Top,90.0
C16,25.27, 5.97,Top,0.0
C17,11.56, 0.64,Top,270.0
C18,13.08, 1.02,Top,270.0
C19,65.28,-10.29,Top,0.0
C20,63.22,-10.29,Top,180.0
C21,18.67,-10.54,Top,180.0
C22,23.50, 1.02,Top,270.0
C23, 2.03,-12.07,Top,0.0
CHARGER,26.16, 0.76,Top,270.0
CHARGING, 1.65,-1.02,Top,90.0
D3,29.85, 5.97,Top,180.0
D5,12.70,-2.92,Top,180.0
D8, 2.67,12.57,Top,270.0
D9, 0.89,12.57,Top,270.0
D10, 4.57,12.57,Top,270.0
I2S-AMP,88.90,-7.37,Top,0.0
IC1,85.77, 6.83,Top,270.0
IC4,22.61,16.13,Top,180.0
J1,88.27,23.88,Top,0.0
J2,81.41,-9.14,Top,90.0
J3,66.93,-4.04,Top,0.0
J4, 0.00, 5.77,Top,270.0
J6,80.14,23.88,Top,0.0
JP1,40.64,27.50,Top,180.0
LDO,64.90,15.27,Top,270.0
ON/OFF,70.81,26.84,Top,0.0
PWR,66.80,26.67,Top,270.0
Q1,12.70, 9.14,Top,180.0
Q2,23.62, 9.02,Top,180.0
Q3,27.94, 9.02,Top,0.0
Q5,55.37,10.92,Top,180.0
Q6,16.38,-3.81,Top,180.0
Q7, 9.40,-6.99,Top,180.0
Q8, 9.40,-2.92,Top,0.0
R1,10.79, 8.64,Top,90.0
R2,88.01,18.16,Top,180.0
R3,14.61, 9.53,Top,270.0
R4,87.50,-10.16,Top,0.0
R5,84.71,-9.78,Top,180.0
R6, 1.52,-2.79,Top,180.0
R7,31.75, 0.51,Top,180.0
R8,70.23,-7.11,Top,270.0
R9,71.37,-7.11,Top,270.0
R10,84.71,-8.51,Top,180.0
R11,18.67,-12.57,Top,180.0
R12,31.62,-4.19,Top,180.0
R13,18.67,-11.56,Top,0.0
R14,60.71,-7.49,Top,90.0
R15, 1.27, 0.13,Top,0.0
R16, 6.48, 0.13,Top,180.0
R17,57.91,11.94,Top,90.0
R18,25.02,11.68,Top,0.0
R19,27.30,11.68,Top,180.0
R20,29.46,11.68,Top,0.0
R21,25.15, 4.45,Top,180.0
R22,27.30, 5.59,Top,90.0
R23,66.80,24.77,Top,180.0
R24,15.37,-1.27,Top,0.0
R25,17.53,-1.27,Top,0.0
R26, 9.40,-8.89,Top,0.0
R27, 9.40,-5.08,Top,180.0
R28,66.80,-7.49,Top,90.0
RESET, 0.67,18.41,Top,90.0
SD_CARD,10.76,12.59,Top,180.0
SHT40, 2.03,-9.91,Top,270.0
USB-TTL,12.83, 4.57,Top,0.0
DISP,51.70, 1.70,Top,0.0
TOUCH,29.00,-7.60,Top,0.0
